osmid,x,y
2444396178,73.4751004,54.9242944
2444396182,73.476115,54.9243885
2444396190,73.4737218,54.9250053
2460064845,73.4646719,54.990071
2460099592,73.4542903,55.0001268
2460099678,73.4523899,55.00101
2460099803,73.4559737,55.0018978
2465176591,73.4820727,54.9851508
2465176597,73.4858594,54.9861443
2465176616,73.4862382,54.9869388
2465176647,73.4916519,54.9892356
2468405937,73.2549404,55.0397318
2469615435,73.3882118,54.9967161
2469615508,73.3890765,54.9976068
2469624987,73.3792968,54.987967
2470705568,73.3342016,54.9116123
2470705581,73.3366872,54.9120629
2470705594,73.3345093,54.9123343
2470705603,73.3374324,54.9130358
2470866582,73.4746555,54.9244217
2473034229,73.2648536,54.9727983
2473034233,73.2670308,54.973478
2477350733,73.3113282,54.9115533
2477350738,73.310247,54.9123374
2477350750,73.3092926,54.9126453
2477350767,73.3067016,54.9130852
2477350770,73.3095714,54.9131715
2477350776,73.3051416,54.9134374
2477350781,73.3041469,54.9136088
2477350782,73.3069897,54.9136228
2477350785,73.309826,54.9137057
2477350786,73.3044267,54.9140685
2477350787,73.3073113,54.914162
2477350789,73.304695,54.9146115
2480881614,73.2908607,55.0381915
2480881626,73.2912475,55.0387933
2480881628,73.2910162,55.0388421
2480881635,73.2916401,55.0394041
2480881636,73.2895762,55.0396259
2480881637,73.2920079,55.0399764
2480881638,73.2917674,55.0400272
2481930962,73.3521118,55.0219302
2481940568,73.3352328,54.9355254
2482088041,73.4325638,54.9872393
2490661965,73.3400068,54.9286172
2491856680,73.4127138,54.9857936
2491856684,73.4171748,54.9860641
2491856687,73.4246532,54.9864495
2491856695,73.4096707,54.9856306
2491856697,73.4157897,54.9859772
2491856699,73.420266,54.9862425
2491856705,73.4230782,54.9863735
2491860496,73.3893472,54.9844804
2491860503,73.3869279,54.9843096
2491860512,73.3882517,54.9844031
2491860514,73.3969559,54.9849827
2491860518,73.392132,54.984677
2491860520,73.3907219,54.9845774
2495746923,73.4532784,54.9184279
2495746942,73.451455,54.91937
2495983919,73.4406603,54.9833987
2496010358,73.3909801,54.9919069
2496010363,73.3922153,54.9926482
2496924562,73.396572,54.9688842
2497113221,73.3577664,54.9983916
2502577479,73.2516306,54.9630223
2502577502,73.2675112,54.9669628
2503439806,73.2723946,55.0358169
2503439810,73.2722638,55.0359854
2503439812,73.2716629,55.0356254
2503439813,73.2715304,55.0357947
2503441554,73.2773238,55.0366602
2503441561,73.277333,55.0364816
2503497122,73.4215807,55.0170831
2505494926,73.3289391,55.0109728
2505519308,73.3974063,54.9382388
2507305129,73.3876896,54.9806956
2507305132,73.3879545,54.9807134
2507853636,73.3884251,54.9783031
